epoch,linear,knn,eff_dim,patch_div,silhouette
0,0.8400,0.7000,5.672,0.2559,0.2113
10,0.8422,0.7022,5.619,0.2509,0.2147
20,0.8489,0.7089,5.517,0.2458,0.2053
30,0.8511,0.7022,5.384,0.2406,0.2028
40,0.8622,0.7044,5.231,0.2353,0.1987
50,0.8622,0.7044,5.071,0.2303,0.2021
60,0.8644,0.6911,4.905,0.2255,0.2159
70,0.8578,0.6844,4.744,0.2209,0.1990
80,0.8600,0.6911,4.604,0.2168,0.2096
90,0.8578,0.6889,4.486,0.2130,0.2163
100,0.8511,0.6867,4.386,0.2095,0.2213
110,0.8444,0.6800,4.300,0.2062,0.2199
120,0.8333,0.6778,4.226,0.2031,0.2063
130,0.8289,0.6800,4.172,0.2002,0.2327
140,0.8333,0.6822,4.124,0.1975,0.2065
150,0.8333,0.6956,4.077,0.1949,0.2141
160,0.8378,0.6911,4.033,0.1921,0.2417
170,0.8356,0.6956,3.994,0.1895,0.2121
180,0.8378,0.6911,3.965,0.1869,0.2417
190,0.8422,0.6911,3.938,0.1844,0.2255
200,0.8489,0.6867,3.919,0.1820,0.2525
210,0.8511,0.6978,3.903,0.1798,0.2240
220,0.8467,0.6956,3.887,0.1778,0.2381
230,0.8511,0.7111,3.872,0.1758,0.2327
240,0.8511,0.7133,3.864,0.1740,0.2702
250,0.8556,0.7222,3.858,0.1723,0.2731
260,0.8489,0.7244,3.854,0.1709,0.2489
270,0.8489,0.7222,3.852,0.1696,0.2497
280,0.8467,0.7244,3.853,0.1683,0.2807
290,0.8489,0.7311,3.855,0.1671,0.2799
300,0.8467,0.7267,3.860,0.1659,0.2785
310,0.8467,0.7267,3.866,0.1648,0.2784
320,0.8467,0.7333,3.871,0.1638,0.2568
330,0.8444,0.7311,3.878,0.1629,0.2794
340,0.8444,0.7244,3.886,0.1621,0.2528
350,0.8467,0.7267,3.895,0.1613,0.2541
360,0.8511,0.7244,3.904,0.1606,0.2551
370,0.8489,0.7333,3.915,0.1600,0.2550
380,0.8467,0.7333,3.925,0.1594,0.2554
390,0.8533,0.7333,3.935,0.1590,0.2571
400,0.8578,0.7333,3.945,0.1586,0.2564
410,0.8622,0.7356,3.959,0.1583,0.2621
420,0.8644,0.7400,3.969,0.1579,0.2567
430,0.8644,0.7378,3.980,0.1575,0.2616
440,0.8667,0.7467,3.989,0.1572,0.2611
450,0.8711,0.7444,3.998,0.1569,0.2588
460,0.8711,0.7444,4.008,0.1567,0.2605
470,0.8733,0.7444,4.018,0.1564,0.2601
480,0.8733,0.7467,4.028,0.1560,0.2593
490,0.8711,0.7489,4.040,0.1557,0.2660
500,0.8711,0.7511,4.051,0.1554,0.2658
